,cellLabel,cellSize,Y_cent,X_cent,H&E_R,H&E_G,H&E_B,dst_register,src_register,DAPI,CD45,CD3e,CD8,CD4,CD45RO,CD45RA,CD69,CD57,CD56,FoxP3,CD28,CD86,T-bet,TCF1_7,IFN-y,GranzymeB,Tox_Tox2,Tim-3,PD-1,LAG-3,CD20,CD138,CD68,TREM2,CD163,CD16,CD11b,CD11c,MPO,C1Q,IDO-1,PDL1,CA9,Cytokeratin,HLA1,Ki-67,P53,CD31,Podoplanin,aSMA,NaKATP,VDAC1,ATP5A,GLUT1,G6PD
753,754,997,436.7873620862588,357.2286860581745,223347.0,214066.0,222307.0,3339454.0,8593957.0,2666741.0,960.0,347446.0,16.0,997.0,210.0,1140959.0,997.0,997.0,78.0,997.0,383814.0,826108.0,8958.0,777.0,37237.0,13.0,214299.0,61065.0,66076.0,131.0,649.0,212150.0,984.0,1174886.0,997.0,997.0,305797.0,997.0,119321.0,192912.0,13621.0,845.0,3422409.0,105.0,470568.0,997.0,53051.0,817.0,411.0,10.0,3918413.0,1399490.0,1393510.0,860824.0,209579.0
754,755,310,432.9258064516129,963.2741935483871,73424.0,72576.0,73520.0,334646.0,817917.0,297788.0,294.0,42244.0,187.0,310.0,7.0,171397.0,310.0,310.0,253.0,310.0,83728.0,145561.0,302.0,169.0,1150.0,162.0,46801.0,169.0,8630.0,398.0,8.0,65472.0,310.0,188079.0,310.0,309.0,68793.0,310.0,680.0,636.0,9010.0,126.0,1223475.0,14356.0,124100.0,275.0,5248.0,2058.0,12.0,38.0,1370607.0,10423.0,86583.0,499029.0,45080.0
755,756,226,436.5575221238938,888.2610619469026,52493.0,50141.0,52164.0,372966.0,546986.0,271695.0,226.0,24871.0,34.0,226.0,90.0,19451.0,226.0,226.0,19617.0,226.0,104683.0,55019.0,217.0,226.0,197.0,5.0,9228.0,192467.0,2800.0,250.0,27.0,20961.0,226.0,77842.0,226.0,226.0,77792.0,226.0,9887.0,15710.0,90.0,106.0,1062397.0,900915.0,210854.0,73375.0,5318.0,106.0,51.0,2791.0,185737.0,108124.0,142123.0,31746.0,21102.0
756,757,223,438.17488789237666,549.5291479820628,49011.0,43495.0,48650.0,443398.0,1132947.0,352916.0,582635.0,3676063.0,1356.0,8154.0,18424.0,158.0,223.0,223.0,40350.0,223.0,67510.0,27171.0,223.0,223.0,194.0,42.0,1871.0,42075.0,3176.0,11.0,90388.0,46463.0,221.0,64.0,223.0,208.0,47405.0,223.0,223.0,3702.0,223.0,223.0,204434.0,1277950.0,272694.0,47651.0,4838.0,223.0,186.0,110.0,266059.0,140421.0,203796.0,223.0,3232.0
757,758,869,439.04718066743385,826.3762945914845,201045.0,192593.0,199023.0,2018474.0,5353376.0,1768807.0,4200.0,211168.0,1617.0,717.0,390.0,979024.0,869.0,778.0,4701.0,869.0,228727.0,392052.0,4775.0,716.0,3198.0,30.0,70554.0,167532.0,15901.0,110.0,55.0,36380.0,869.0,516326.0,869.0,869.0,172314.0,869.0,65149.0,59074.0,6897.0,8200.0,3516106.0,179456.0,762146.0,9760.0,18136.0,712.0,178.0,26.0,3726026.0,1187878.0,552123.0,423384.0,220922.0
758,759,188,439.5851063829787,679.4787234042553,42103.0,37841.0,41753.0,448717.0,1133666.0,377141.0,188.0,19504.0,0.0,188.0,188.0,136.0,188.0,188.0,4661.0,188.0,83463.0,111541.0,188.0,188.0,31234.0,14.0,11212.0,162862.0,1391.0,0.0,58752.0,30937.0,188.0,12443.0,188.0,188.0,62759.0,188.0,351.0,34391.0,183.0,133.0,299117.0,3367344.0,235736.0,184.0,3022.0,188.0,66.0,19746.0,162850.0,573350.0,552985.0,2254.0,6432.0
759,760,274,440.45255474452557,97.67883211678833,65373.0,65237.0,65476.0,355100.0,567566.0,263941.0,274.0,68558.0,26.0,274.0,108.0,459278.0,274.0,274.0,6.0,274.0,88330.0,110497.0,274.0,205.0,261.0,0.0,48501.0,3464.0,7806.0,50.0,30.0,46969.0,274.0,316633.0,274.0,274.0,75469.0,274.0,572.0,17045.0,3278.0,7429.0,590718.0,10670.0,156964.0,274.0,5776.0,126.0,92.0,0.0,1127753.0,225081.0,194690.0,384697.0,72868.0
760,761,149,440.73825503355704,154.51677852348993,35072.0,34579.0,34883.0,174483.0,453982.0,188496.0,114.0,83841.0,20.0,149.0,0.0,338233.0,149.0,149.0,47.0,149.0,42968.0,74242.0,148.0,86.0,92.0,0.0,22307.0,569.0,4927.0,37.0,0.0,18580.0,139.0,249681.0,149.0,98.0,35910.0,149.0,3136.0,313023.0,263.0,17966.0,1259193.0,6517.0,85165.0,149.0,4790.0,9.0,4.0,0.0,793357.0,138029.0,90532.0,231208.0,52568.0
761,762,351,440.1994301994302,981.1367521367522,82753.0,81534.0,82776.0,358016.0,789415.0,247266.0,133367.0,105077.0,196.0,351.0,1497.0,245745.0,351.0,351.0,588.0,351.0,131020.0,275517.0,351.0,1811.0,3116.0,8.0,60074.0,24442.0,10387.0,383.0,261.0,106953.0,3801.0,1207475.0,9731.0,105831.0,132023.0,351.0,224.0,87694.0,80.0,270.0,1974472.0,99829.0,237699.0,351.0,9235.0,2448.0,59.0,31.0,1792654.0,222856.0,427161.0,582272.0,62776.0
762,763,532,438.7048872180451,131.08834586466165,124205.0,121099.0,123551.0,679237.0,1723845.0,594328.0,475.0,333060.0,7.0,443.0,51.0,812708.0,532.0,532.0,14.0,532.0,151877.0,290414.0,436.0,398.0,424.0,13.0,70262.0,827.0,17277.0,127.0,18.0,50189.0,531.0,771466.0,532.0,2819.0,134333.0,532.0,12514.0,125337.0,9280.0,24284.0,738109.0,39645.0,241185.0,494.0,12497.0,48.0,82.0,31.0,1465538.0,988434.0,577023.0,353997.0,141074.0
