,cellLabel,cellSize,Y_cent,X_cent,H&E_R,H&E_G,H&E_B,dst_register,src_register,DAPI,CD45,CD3e,CD8,CD4,CD45RO,CD45RA,CD69,CD57,CD56,FoxP3,CD28,CD86,T-bet,TCF1_7,IFN-y,GranzymeB,Tox_Tox2,Tim-3,PD-1,LAG-3,CD20,CD138,CD68,TREM2,CD163,CD16,CD11b,CD11c,MPO,C1Q,IDO-1,PDL1,CA9,Cytokeratin,HLA1,Ki-67,P53,CD31,Podoplanin,aSMA,NaKATP,VDAC1,ATP5A,GLUT1,G6PD
1498,1499,814,844.5257985257986,230.75675675675674,227.6044226044226,221.8869778869779,229.82186732186733,3822.3906633906636,11306.9914004914,3184.7948402948405,508.3820638820639,223.1953316953317,0.11547911547911548,1.0,6.891891891891892,896.2027027027027,1.0,1.0,0.07493857493857493,1.0,294.487714987715,867.5503685503686,4.601965601965602,0.9447174447174447,0.957002457002457,0.006142506142506142,149.004914004914,1.0405405405405406,44.492628992628994,0.3083538083538084,0.9238329238329238,133.3931203931204,23.2997542997543,2825.7383292383292,260.6879606879607,625.6769041769041,234.77764127764127,1.0,352.5638820638821,876.7948402948402,8.17936117936118,11.464373464373464,3261.5343980343982,60.98525798525799,438.35135135135135,1.0,56.94963144963145,5.691646191646192,0.17444717444717445,0.07002457002457002,3013.938574938575,379.35012285012283,592.1093366093367,925.480343980344,191.1056511056511
1499,1500,720,842.4125,600.7597222222222,225.1611111111111,214.13194444444446,227.10555555555555,3483.4430555555555,9264.884722222223,2884.4847222222224,3.873611111111111,87.70833333333333,0.03611111111111111,1.0,1.4694444444444446,405.1,1.0,1.0,43.422222222222224,1.0,359.76666666666665,894.8,0.5055555555555555,1.0,0.8361111111111111,0.09166666666666666,106.99305555555556,440.07916666666665,38.4125,0.12083333333333333,17.415277777777778,139.34583333333333,1.2777777777777777,493.0125,0.9972222222222222,0.9472222222222222,243.84583333333333,1.0,338.6361111111111,25.74861111111111,1.6902777777777778,0.8958333333333334,2505.391666666667,1470.9847222222222,815.7805555555556,85.63055555555556,53.15,0.8347222222222223,0.02361111111111111,0.002777777777777778,932.1958333333333,664.1222222222223,1007.4472222222222,87.9888888888889,111.19166666666666
1500,1501,696,842.5071839080459,302.16379310344826,225.18965517241378,215.76005747126436,226.86350574712642,3499.4683908045977,10884.311781609196,2920.935344827586,435.3477011494253,7292.074712643678,0.007183908045977011,234.0344827586207,417.3060344827586,924.346264367816,0.8591954022988506,1.0,0.008620689655172414,49.62643678160919,309.4655172413793,630.073275862069,105.1853448275862,0.9224137931034483,0.7528735632183908,0.004310344827586207,112.86063218390805,57.38074712643678,47.30316091954023,0.1336206896551724,0.46695402298850575,207.98994252873564,1.0,787.8908045977012,0.8362068965517241,1.2988505747126438,233.64367816091954,1.0,195.1235632183908,82.7830459770115,48.55028735632184,129.91810344827587,2115.8735632183907,27.135057471264368,703.7715517241379,1.0,33.43390804597701,3.7514367816091956,0.021551724137931036,0.06609195402298851,3902.2011494252874,490.56609195402297,909.5617816091954,471.3347701149425,147.61925287356323
1501,1502,974,842.2166324435318,481.9281314168378,224.52464065708418,209.40041067761808,224.95379876796716,2158.893223819302,5674.445585215606,1745.5133470225874,51.016427104722794,47.80492813141684,0.013347022587268994,1.0,0.49589322381930184,294.42299794661193,1.0,1.0,1.5256673511293635,1.0,220.4322381930185,444.1375770020534,1.0,0.9681724845995893,26.806981519507186,0.09958932238193019,42.256673511293634,156.76796714579055,23.11088295687885,0.004106776180698152,0.5708418891170431,115.13449691991786,0.86652977412731,364.5420944558522,0.9969199178644764,0.9845995893223819,149.98562628336757,1.0,95.38809034907598,414.2433264887064,5.507186858316222,0.8685831622176592,1756.2915811088296,1401.4312114989732,772.9250513347023,888.1694045174538,22.740246406570844,0.9363449691991786,0.4353182751540041,472.54106776180697,1902.588295687885,748.8244353182752,726.7782340862423,35.234086242299796,93.62012320328542
1502,1503,131,844.4656488549618,337.0534351145038,234.29770992366412,227.63358778625954,235.3587786259542,820.824427480916,2574.4351145038167,805.2671755725191,1.0,245.76335877862596,0.0,0.4580152671755725,0.0,1452.5190839694656,1.0,1.0,0.0,1.0,274.9541984732824,581.5725190839695,1.0,1.7786259541984732,0.13740458015267176,0.3053435114503817,138.89312977099237,0.8244274809160306,24.290076335877863,0.022900763358778626,0.9770992366412213,71.8473282442748,1.0,1590.4274809160306,1.0,1.0,244.32824427480915,1.0,0.31297709923664124,4.740458015267175,1.8702290076335877,138.98473282442748,1457.0916030534352,47.51145038167939,337.6412213740458,1.0,15.236641221374045,0.0,0.1297709923664122,0.0,2739.1603053435115,1487.5343511450383,1334.328244274809,513.3053435114504,172.75572519083968
1503,1504,826,846.4225181598063,554.320823244552,218.31598062953995,205.1949152542373,220.3135593220339,6036.029055690073,16645.23244552058,5017.974576271186,1.5714285714285714,181.61138014527845,0.024213075060532687,1.0,0.4600484261501211,214.41525423728814,1.0,1.0,29.159806295399516,1.0,289.49394673123487,856.0569007263922,47.67070217917676,0.9975786924939467,68.9818401937046,0.02784503631961259,81.65980629539952,854.5302663438257,38.90556900726392,0.13559322033898305,0.9455205811138014,123.68523002421307,0.9636803874092009,520.2639225181598,1.0,1.4757869249394673,202.3050847457627,1.0,322.22760290556903,26.487893462469735,50.006053268765136,0.9249394673123487,3747.090799031477,1561.2070217917676,1057.1658595641647,1.0,53.69854721549637,0.6598062953995157,0.17312348668280872,0.03631961259079903,1291.3837772397094,621.9782082324455,819.3280871670702,422.21065375302663,74.69007263922518
1504,1505,131,845.587786259542,716.9236641221374,219.23664122137404,203.45801526717557,221.12213740458014,3948.664122137405,10622.984732824427,3321.8625954198474,1.0,0.0,0.0,1.0,0.06870229007633588,11.969465648854962,1.0,1.0,5.106870229007634,1.0,248.96946564885496,388.99236641221376,0.0916030534351145,1.0,0.7938931297709924,0.10687022900763359,47.68702290076336,284.9770992366412,34.80916030534351,0.030534351145038167,0.022900763358778626,112.41221374045801,1.0,50.25954198473283,1.0,1.0,131.57251908396947,1.0,308.8702290076336,70.05343511450381,0.06870229007633588,1.0,1471.0381679389313,1103.6564885496184,610.5954198473282,1.0,55.396946564885496,1.0,0.07633587786259542,0.2366412213740458,702.6564885496183,211.77862595419847,252.00763358778627,1.0,44.404580152671755
1505,1506,238,844.7394957983194,208.24789915966386,229.34873949579833,223.60084033613447,231.2731092436975,2730.5672268907565,8340.941176470587,2262.844537815126,49.84033613445378,69.75630252100841,0.012605042016806723,1.0,0.6722689075630253,1196.3319327731092,1.0,1.0,0.025210084033613446,1.0,329.21008403361344,631.4117647058823,0.957983193277311,1.0,1.0,0.01680672268907563,192.11344537815125,2.4243697478991595,38.15546218487395,0.10084033613445378,1.0,176.71848739495798,1.0,1082.4831932773109,3.7563025210084033,71.20588235294117,267.34033613445376,1.0,106.15126050420169,138.02941176470588,0.3445378151260504,6.184873949579832,3163.281512605042,59.096638655462186,469.01680672268907,1.0,41.739495798319325,0.8025210084033614,0.31092436974789917,0.10084033613445378,3137.609243697479,353.9579831932773,567.9747899159664,778.5378151260504,213.0252100840336
1506,1507,1131,845.999115826702,956.4084880636605,229.13704686118479,221.31653404067197,229.4633068081344,2679.6348364279397,6929.019451812555,2336.2935455349248,0.9425287356321839,126.42970822281167,0.06631299734748011,0.9920424403183024,0.0618921308576481,709.080459770115,1.0,1.0,0.11405835543766578,1.0,270.7966401414677,801.0574712643678,7.390804597701149,0.9655172413793104,3.1290893015030945,0.15207780725022105,102.88505747126437,71.8709106984969,32.35632183908046,0.5464190981432361,0.1865605658709107,46.36604774535809,1.0,1082.0450928381963,1.0,0.9734748010610079,209.86118479221926,1.0,258.49867374005305,30.111405835543767,27.360742705570292,0.34571175950486294,1299.313881520778,94.49778956675509,625.2458001768347,1.0,37.47833775419982,5.6861184792219275,0.015030946065428824,0.053934571175950484,3139.8797524314764,757.1626878868258,742.893899204244,187.94341290893016,135.69938107869143
1507,1508,684,847.5453216374269,391.57456140350877,228.47222222222223,220.17251461988303,229.8859649122807,1874.279239766082,6489.811403508772,1716.9751461988303,6.93859649122807,158.57456140350877,0.22514619883040934,0.9912280701754386,17.454678362573098,643.1915204678363,1.0,1.0,0.24853801169590642,1.0,217.03654970760235,590.8406432748538,1.0,38.85964912280702,0.8728070175438597,0.11403508771929824,94.6593567251462,7.91374269005848,19.88157894736842,0.06286549707602339,1.2704678362573099,61.671052631578945,0.9605263157894737,1074.8654970760233,0.9108187134502924,0.7850877192982456,167.9751461988304,1.0,86.98684210526316,58.42982456140351,6.529239766081871,35.010233918128655,1142.156432748538,34.11257309941521,446.77923976608184,1.0,14.635964912280702,0.42543859649122806,0.1915204678362573,3.58187134502924,2711.6725146198833,503.9035087719298,663.9078947368421,250.85233918128654,123.02046783625731
